1.0404871524388029
1.0464505418059984,1.0395490410938784,1.0361577202139594,1.033615563762068,1.0311780313371213,1.0303678255033915,1.0291996063487052,1.0279714712994676,1.0278787742672615,1.0269141000269144,1.025589678478474,1.0250887836412823
1.047216133867244,1.037918327574223,1.0374115915205464,1.0374104747210364,1.0357865943747644,1.0336922418533634,1.0336105013891386,1.0307558054212391,1.0294721454867133,1.027296798147915,1.0254284767429613,1.025121741722885,1.0250549452869118,1.0249291474844702,1.0248252533297633,1.0245439078560712,1.0241000662368274,1.0236798342524438,1.0229636558676496,1.022869886053386,1.0220631541910281,1.0216505200243733,1.021193937547446
1.049150758583718,1.0490789987972227,1.0458043222226359,1.0456196779298554,1.0449070324537977,1.0441004992134575,1.0433669580729712,1.0415241556930317,1.0406433975154823,1.0397095312566247,1.0388115349359515,1.0381125383838696,1.0377056512972127,1.0372322700442935,1.0369895642440299,1.0369415599413818,1.0368412208564923,1.036809443760041,1.0366368986294159,1.036338751590857
1.0470063863083032,1.042048253160452,1.034133234708858,1.0320883248805366,1.029983783103916,1.0279208789760488,1.027413948723418,1.0265215520710482,1.0253847111765486,1.0249513174390668,1.0242517836535276,1.0242065889200096,1.023705981614508,1.0233997035325386,1.0224850359833042,1.0222523629329034,1.022175317539455,1.0217740860044013,1.0215861388841456,1.0213993636268672,1.0211702282668225
1.046263343528369,1.0461182647054013,1.04604428407179,1.0404176662496578,1.0399030400476397,1.0364634922467189,1.034612924978966,1.0323959136049559,1.0319496468976241,1.030647850213458,1.0297769527480378,1.02971428383319,1.028531144347375,1.0284886438368923,1.0278669057801566,1.0274227167742207,1.0263472662412974,1.0256756015460555,1.0252392459136987,1.0250059739157016,1.0248003832813544,1.0247695584977883
1.0484808290980918,1.048457368197279,1.04458320566376,1.0432291724019729,1.0412679521675379,1.0404646109719544,1.0378963466383944,1.0364528909050612,1.034597780098959,1.0327123995416445,1.0317788121691245,1.0315215793089982,1.0312798377080366,1.0306321320978673,1.030546658538603,1.0296308334088313,1.0286331051666466,1.028228253526355,1.0277749922182495,1.0277418549891217,1.0272848501113931,1.0272066773209259
1.0477107805829176,1.0398589035545487,1.0387459336480986,1.0325683606129106,1.0309254094995357,1.0274959603041827
1.0487404948430716,1.048436745456513,1.0482861844822755,1.0470270638581045,1.0437408744361283,1.0410389924731795,1.0392403885565242,1.0387311454865842,1.0385342434560894,1.0385322857650663,1.0377547627525463,1.0372851631510762,1.0365438036351369,1.0359645499271841,1.0349928250531983,1.034032741504823,1.0334071764291046,1.032862114062295,1.0317943314470024,1.0308782537405712,1.0305991083576207,1.0300132082263442,1.0295196810840161,1.0290647914535245,1.0287633900332391,1.0286808877867688,1.0283134629026205,1.0280055590355361,1.0276030220172911,1.0275318734162722,1.027138971887035
1.0479704154724876,1.0436268287626036,1.042097877386027,1.038042011410998,1.0359627220403749,1.0352771495960698,1.0334839744917912,1.032340601552942,1.0313587333376242,1.0313541801636512,1.0306972284055578,1.0303690213323906,1.0299975106112893,1.0297544140364119,1.0296145719989023,1.0292203055561968,1.0284689901390394,1.028178872183052,1.0280460950503465,1.028026505828027
1.0458647083547572,1.0433301755046642
1.0470480424196345,1.0435871585240624,1.0428001806310696
