# Input graph: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/edges.csv
# OD-pairs: /home/onion/Repo/Robust-Toll-Pricing-Algorithm/ScenarioApproach/myPython/Temp/od0.csv
# Objective: user_eq
# Function: bpr
# Shortest-path algo: dijkstra
# Preprocessing time: 0ms
iteration,customization_time,query_time,line_search_time,total_time,obj_function_value,total_travel_cost
97,0,0,0,0,2.7838e+08,4.72135e+08,
98,0,0,0,0,2.7838e+08,4.72121e+08,
99,0,0,0,0,2.7838e+08,4.72129e+08,
100,0,0,0,0,2.7838e+08,4.72147e+08,
101,0,0,0,0,2.7838e+08,4.72143e+08,
102,0,0,0,0,2.7838e+08,4.72112e+08,
103,0,0,0,0,2.78379e+08,4.72108e+08,
104,0,0,0,0,2.78379e+08,4.72112e+08,
105,0,0,0,0,2.78379e+08,4.72058e+08,
106,0,0,0,0,2.78379e+08,4.7208e+08,
107,0,0,0,0,2.78379e+08,4.72139e+08,
108,0,0,0,0,2.78378e+08,4.72108e+08,
109,0,0,0,0,2.78378e+08,4.72088e+08,
110,0,0,0,0,2.78378e+08,4.72124e+08,
111,0,0,0,0,2.78378e+08,4.72124e+08,
112,0,0,0,0,2.78378e+08,4.72123e+08,
113,0,0,0,0,2.78378e+08,4.72129e+08,
114,0,0,0,0,2.78378e+08,4.7215e+08,
115,0,0,0,0,2.78378e+08,4.72147e+08,
116,0,0,0,0,2.78378e+08,4.7214e+08,
117,0,0,0,0,2.78378e+08,4.72144e+08,
118,0,0,0,0,2.78378e+08,4.7214e+08,
119,0,0,0,0,2.78377e+08,4.72147e+08,
120,0,0,0,0,2.78377e+08,4.72155e+08,
121,0,0,0,0,2.78377e+08,4.72151e+08,
122,0,0,0,0,2.78377e+08,4.72149e+08,
123,0,0,0,0,2.78377e+08,4.72151e+08,
124,0,0,0,0,2.78377e+08,4.7216e+08,
125,0,0,0,0,2.78377e+08,4.72139e+08,
126,0,0,0,0,2.78377e+08,4.7214e+08,
127,0,0,0,0,2.78377e+08,4.72155e+08,
128,0,0,0,0,2.78377e+08,4.72143e+08,
129,0,0,0,0,2.78377e+08,4.72148e+08,
130,0,0,0,0,2.78377e+08,4.7215e+08,
131,0,0,0,0,2.78377e+08,4.7215e+08,
132,0,0,0,0,2.78377e+08,4.72115e+08,
133,0,0,0,0,2.78377e+08,4.72116e+08,
134,0,0,0,0,2.78377e+08,4.72125e+08,
135,0,0,0,0,2.78377e+08,4.72119e+08,
136,0,0,0,0,2.78377e+08,4.72143e+08,
137,0,0,0,0,2.78377e+08,4.72141e+08,
138,0,0,0,0,2.78376e+08,4.72142e+08,
139,0,0,0,0,2.78376e+08,4.72135e+08,
140,0,0,0,0,2.78376e+08,4.72135e+08,
141,0,0,0,0,2.78376e+08,4.72142e+08,
142,0,0,0,0,2.78376e+08,4.72166e+08,
143,0,0,0,0,2.78376e+08,4.72176e+08,
144,0,0,0,0,2.78376e+08,4.72152e+08,
145,0,0,0,0,2.78376e+08,4.7213e+08,
146,0,0,0,0,2.78376e+08,4.72147e+08,
147,0,0,0,0,2.78376e+08,4.72179e+08,
148,0,0,0,0,2.78376e+08,4.72183e+08,
149,0,0,0,0,2.78376e+08,4.72163e+08,
150,0,0,0,0,2.78376e+08,4.72161e+08,
151,0,0,0,0,2.78376e+08,4.72173e+08,
152,0,0,0,0,2.78376e+08,4.7218e+08,
153,0,0,0,0,2.78376e+08,4.7217e+08,
154,0,0,0,0,2.78376e+08,4.72159e+08,
155,0,0,0,0,2.78376e+08,4.7216e+08,
156,0,0,0,0,2.78376e+08,4.72155e+08,
157,0,0,0,0,2.78376e+08,4.72149e+08,
158,0,0,0,0,2.78376e+08,4.72159e+08,
159,0,0,0,0,2.78376e+08,4.72173e+08,
160,0,0,0,0,2.78376e+08,4.72172e+08,
161,0,0,0,0,2.78376e+08,4.7217e+08,
162,0,0,0,0,2.78376e+08,4.72162e+08,
163,0,0,0,0,2.78375e+08,4.72168e+08,
164,0,0,0,0,2.78375e+08,4.72168e+08,
165,0,0,0,0,2.78375e+08,4.72161e+08,
166,0,0,0,0,2.78375e+08,4.72144e+08,
167,0,0,0,0,2.78375e+08,4.72147e+08,
168,0,0,0,0,2.78375e+08,4.72159e+08,
169,0,0,0,0,2.78375e+08,4.7215e+08,
170,0,0,0,0,2.78375e+08,4.72151e+08,
171,0,0,0,0,2.78375e+08,4.72173e+08,
172,0,0,0,0,2.78375e+08,4.72158e+08,
173,0,0,0,0,2.78375e+08,4.72165e+08,
174,0,0,0,0,2.78375e+08,4.7218e+08,
175,0,0,0,0,2.78375e+08,4.72178e+08,
176,0,0,0,0,2.78375e+08,4.72163e+08,
177,0,0,0,0,2.78375e+08,4.72155e+08,
178,0,0,0,0,2.78375e+08,4.72156e+08,
179,0,0,0,0,2.78375e+08,4.72164e+08,
180,0,0,0,0,2.78375e+08,4.72151e+08,
181,0,0,0,0,2.78375e+08,4.72147e+08,
182,0,0,0,0,2.78375e+08,4.72171e+08,
183,0,0,0,0,2.78375e+08,4.72168e+08,
184,0,0,0,0,2.78375e+08,4.72175e+08,
185,0,0,0,0,2.78375e+08,4.72176e+08,
186,0,0,0,0,2.78375e+08,4.72185e+08,
187,0,0,0,0,2.78375e+08,4.72179e+08,
188,0,0,0,0,2.78375e+08,4.72162e+08,
